"student_id","I1","I2","I3","I4","I5","I6","I7","I8","I9","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37","I38","I39","I40","I41","I42","I43","I44","I45","I46","I47","I48","I49","I50","I51"
12,3,4,4,3,2,3,3,5,2,5,3,3,4,2,5,3,2,2,2,2,3,2,2,2,3,1,1,1,1,2,1,1,1,1,1,3,1,3,2,1,1,1,2,4,1,2,2,2,1,1,3
16,4,4,5,3,4,3,4,4,2,4,2,3,4,3,5,4,1,3,4,3,4,2,2,3,4,3,2,4,3,1,4,1,3,5,3,4,3,4,4,3,1,3,4,2,4,2,2,4,2,3,4
17,3,4,2,3,3,2,3,5,2,4,4,3,2,3,4,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1
23,5,3,2,4,2,2,3,5,1,5,2,2,2,2,5,2,2,1,2,2,4,3,2,3,5,1,1,2,1,1,5,1,1,5,1,3,4,3,3,NA,1,1,1,1,3,1,1,4,1,1,5
25,2,1,2,2,2,2,3,4,3,4,2,2,4,2,4,2,3,2,3,3,3,2,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
27,2,2,1,1,1,1,3,2,2,2,1,2,2,1,3,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1
33,4,3,3,3,2,2,3,4,2,4,3,3,5,3,4,3,3,5,5,3,3,4,3,2,3,3,2,2,NA,2,3,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,4,1,1,2
35,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,4,4,4,3,3,3,4,4,2,3,3,4,5,3,3,2,2,3,2,3,3,4,1,1,1,2,1,1,1,1,1,1,1,2,1,3,2,2,3,2,1,2,2,2,2,1,4,3,2,1,2
40,2,2,2,2,1,2,3,3,1,2,1,2,3,1,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,1,3,2,2,3,1,1,2,4,2,1,2,1,1,2,1,2
41,3,3,5,2,2,3,3,4,2,4,2,2,4,1,4,3,1,1,2,3,2,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,1,1,1,1,2
42,4,4,4,3,4,2,5,4,2,3,4,3,4,3,3,2,3,2,5,3,1,2,2,2,3,3,2,3,2,1,1,1,3,3,2,3,4,2,2,3,2,3,4,1,3,2,2,3,1,3,2
43,2,3,4,2,2,2,4,4,1,3,1,1,4,1,2,4,4,4,4,3,1,1,3,1,2,1,1,2,1,1,2,1,2,2,1,3,2,2,3,1,1,1,2,2,2,3,2,3,2,1,3
46,3,3,1,2,2,2,3,4,1,3,2,1,3,1,3,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
49,3,1,1,2,2,1,2,3,1,3,1,1,2,2,3,1,1,3,2,1,2,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
54,3,3,2,2,3,1,3,2,2,2,1,2,4,2,1,2,3,1,2,3,4,4,2,2,5,2,2,2,2,1,4,1,2,3,2,2,3,3,3,2,1,1,1,1,3,2,2,3,2,2,3
59,2,1,1,2,1,1,3,4,1,3,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,1,2,1,1,1,1,2,2,2,NA,NA,1,1,1,2,2,1,1,1,3,2,1,1
72,2,2,2,3,2,4,4,3,2,3,1,1,2,1,3,2,2,2,3,3,3,3,2,3,2,2,1,2,1,1,1,1,2,1,1,3,3,2,2,2,1,1,2,3,2,2,2,2,2,2,2
73,4,3,2,3,3,2,4,4,2,5,4,3,4,3,5,2,1,3,2,3,2,3,1,3,3,3,NA,4,2,1,3,1,2,3,3,3,NA,3,3,3,1,3,1,1,4,2,2,3,3,3,4
85,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,2,3,2,2,3,2,3,4,2,3,2,3,4,2,4,2,2,3,2,2,2,4,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,1,1
90,2,3,3,3,2,2,3,4,1,2,1,3,5,1,2,1,1,4,1,2,4,4,1,2,1,1,2,4,1,1,1,1,1,1,1,3,2,4,1,1,1,1,3,1,1,4,1,2,3,1,4
91,5,5,4,5,3,3,3,5,4,4,5,3,5,3,3,4,1,4,5,5,1,4,5,1,5,2,2,2,2,3,5,1,2,4,2,2,3,3,3,4,1,2,4,4,1,4,3,3,2,2,5
92,2,2,4,1,3,1,2,2,1,2,1,1,2,2,1,3,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,3,1,1,2,1,1,1,2,1,1,5,2,1,1,1
93,3,2,1,3,2,2,2,3,2,4,2,1,4,1,2,1,1,4,2,3,1,1,2,1,3,2,1,3,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
97,2,3,1,2,3,2,2,4,2,4,1,3,3,1,4,1,2,2,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,3,4,1,3,2,1,1,1,2,1,1,1,2,1,1,1
102,2,3,3,2,2,3,3,4,2,4,2,2,3,2,3,3,2,3,3,3,1,3,3,1,1,1,1,2,1,2,1,3,1,1,1,2,1,1,1,1,1,1,2,3,2,2,1,1,1,2,1
103,2,2,2,3,NA,1,2,3,1,2,2,1,5,2,3,2,1,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1
104,4,4,5,3,2,4,5,3,3,NA,2,1,3,2,5,4,4,4,5,4,2,2,2,2,2,4,3,2,2,1,2,1,3,5,2,4,4,2,3,4,2,4,1,1,2,2,2,2,2,3,3
105,3,3,2,3,3,2,3,4,2,3,3,2,4,2,3,2,2,3,2,2,2,3,1,2,2,1,3,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2
106,3,3,2,4,4,3,4,4,1,4,3,3,4,3,4,3,3,3,4,2,3,3,4,4,1,3,2,3,2,1,1,1,2,1,1,4,3,1,3,3,2,3,2,1,3,2,1,3,4,3,3
116,2,1,1,2,2,1,2,2,2,3,1,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,1,1,1
118,2,1,3,2,2,1,NA,3,1,4,1,2,4,1,4,3,2,4,2,3,2,2,2,2,1,3,2,4,2,2,1,2,1,4,5,4,4,NA,1,2,1,2,4,1,5,1,1,1,1,1,1
122,3,2,1,2,2,3,3,3,2,2,1,2,3,2,3,1,2,2,2,2,1,2,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,1,3,2,2,3,2,3,2,2,3
128,3,1,3,2,2,1,3,4,1,4,1,1,4,1,4,3,1,1,2,1,1,5,1,2,3,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,2,1,1,3
132,2,4,1,2,3,3,4,2,4,2,2,2,4,2,2,1,3,3,3,4,2,4,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,4,1,1,1,1,2
139,5,3,5,4,4,2,5,5,4,5,4,5,5,3,5,5,2,5,5,4,5,4,3,2,3,2,1,2,1,2,3,2,1,4,1,3,3,3,4,5,1,1,4,2,2,3,2,4,1,1,3
141,1,1,1,2,1,2,2,3,1,3,1,1,3,1,3,2,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1
143,2,3,4,3,4,3,4,5,2,3,2,3,5,3,4,4,2,4,4,3,2,2,3,2,2,2,1,2,2,2,1,1,2,1,1,3,2,1,2,1,1,1,3,3,2,4,1,2,1,2,1
148,4,3,3,3,3,2,3,4,1,5,2,2,3,2,4,2,1,3,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,1,1,1,2,1,2,1,1,1
152,4,3,3,3,3,2,4,4,2,4,3,3,4,3,4,4,3,3,3,3,2,3,2,2,4,2,1,3,2,2,3,2,1,4,2,4,3,3,4,3,1,1,2,2,4,3,2,3,1,1,3
160,2,1,4,2,1,1,2,5,1,4,1,1,3,1,4,4,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
167,4,4,4,4,4,3,4,4,3,3,2,3,4,2,3,3,3,2,3,3,2,4,3,4,4,4,4,4,3,3,5,4,3,4,4,4,4,4,5,5,3,3,4,5,5,4,4,4,5,3,5
172,2,3,1,1,2,2,3,3,1,2,1,2,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,2,2,3,2,1,2,1,1,1,1,4,2,2,1,3,1,1,1
176,1,3,1,1,2,1,3,2,1,2,1,1,2,1,1,2,3,2,2,1,1,1,1,2,4,1,1,1,1,3,1,2,1,1,1,3,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2
181,3,3,2,4,1,4,3,4,3,2,2,4,5,3,2,2,4,3,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,1,1,2,2,1,3,3,1,1,1,1,2
187,4,3,4,2,3,3,4,5,2,5,3,3,4,2,5,3,2,4,2,3,3,3,1,3,4,2,2,2,2,4,1,2,2,2,1,2,5,NA,2,4,1,2,4,1,3,4,2,2,2,2,3
189,3,3,4,2,2,3,4,4,2,4,3,3,4,1,4,4,2,4,3,3,2,3,3,2,3,2,2,2,1,1,2,1,2,3,2,2,2,3,2,1,1,1,2,2,2,2,1,3,2,1,3
192,4,2,5,3,2,2,3,5,2,5,3,3,4,1,4,3,3,2,3,2,3,4,1,3,5,1,1,2,1,1,4,1,1,5,2,4,3,3,5,4,1,1,2,2,5,1,3,4,1,1,4
195,2,4,3,2,3,2,3,2,2,2,1,1,4,2,2,4,2,3,3,2,1,2,2,3,1,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,3,4,1,4,3,1,1,1,1
202,2,2,3,1,3,2,3,3,2,3,1,1,4,1,1,3,2,3,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,4,1,2,2,1,1,1,1,4,1,1,1,2,2,1,1
204,4,2,2,3,2,1,3,5,1,5,1,3,4,1,4,3,1,1,2,2,3,1,1,1,2,3,1,2,2,2,1,2,2,2,2,3,3,1,2,2,2,3,1,4,2,4,2,3,2,2,1
207,2,4,1,2,2,4,2,2,1,2,1,2,5,2,2,1,2,2,1,3,1,1,1,1,2,1,1,1,1,2,1,5,1,2,1,3,1,1,1,1,1,1,5,2,1,1,4,1,1,1,1
215,3,4,5,5,4,4,3,4,3,2,4,2,5,1,3,4,3,1,4,4,3,1,1,3,5,3,1,3,3,1,4,1,1,3,1,4,1,3,4,1,1,1,1,3,1,1,2,5,1,1,3
217,2,2,5,3,2,1,4,5,1,5,2,2,3,2,4,4,2,2,5,1,2,3,3,2,3,1,1,2,2,2,3,1,1,2,2,3,1,3,2,2,1,1,2,3,2,3,1,2,1,1,3
